NORMAL;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0;1;
FEU;1;0.5;0.5;1;2;2;1;1;1;1;1;2;0.5;1;0.5;
EAU;1;2;0.5;1;0.5;1;1;1;2;1;1;1;2;1;0.5;
ELECTR;1;1;2;0.5;0.5;1;1;1;0;2;1;1;1;1;0.5;
PLANTE;1;0.5;2;1;0.5;1;1;0.5;2;0.5;1;0.5;2;1;0.5;
GLACE;1;1;0.5;1;2;0.5;1;1;2;2;1;1;1;1;2;
COMBAT;2;1;1;1;1;2;1;0.5;1;0.5;0.5;0.5;2;0;1;
POISON;1;1;1;1;2;1;1;0.5;0.5;1;1;2;0.5;0.5;1;
SOL;1;2;1;2;0.5;1;1;2;1;0;1;0.5;2;1;1;
VOL;1;1;1;0.5;2;1;2;1;1;1;1;2;0.5;1;1;
PSY;1;1;1;1;1;1;2;2;1;1;0.5;1;1;1;1;
INSECT;1;0.5;1;1;2;1;0.5;2;1;0.5;2;1;1;0.5;1;
ROCHE;1;2;1;1;1;2;0.5;1;0.5;2;1;2;1;1;1;
SPECTR;0;1;1;1;1;1;1;1;1;1;0;1;1;2;1;
DRAGON;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;
